codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida
0021115170,0068,2015-01-23T15:00:00.000,18.1,LA PLATA - AUT,HUILA,NEIVA,ALTO MAGDALENA,2.759138889,-75.07455556,Temp Aire 2 m,°C
0021206780,0068,2014-09-09T10:50:00.000,19.8,LA INDEPENDENCIA FOPAE Fuera de Servicio,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.617,-74.317,Temp Aire 2 m,°C
0021165501,0068,2018-02-27T19:15:00.000,18.45221,DOLORES  - AUT,TOLIMA,DOLORES,ALTO MAGDALENA,3.537155556,-74.82982778,Temp Aire 2 m,°C
0026135502,0068,2019-04-23T02:00:00.000,16.53354,EL JAZMIN  - AUT,RISARALDA,SANTA ROSA DE CABAL,CAUCA,4.911944444,-75.62416389,Temp Aire 2 m,°C
0029065501,0068,2016-07-13T17:15:00.000,26.1,"CIENAGA,LA  - AUT",MAGDALENA,CIÉNAGA,BAJO MAGDALENA,10.89785833,-74.08156667,Temp Aire 2 m,°C
0011159010,0068,2019-03-20T04:00:00.000,25.8,CAPURGANA - TX GPRS,CHOCÓ,ACANDÍ,ATRATO - DARIÉN,8.616,-77.331,Temp Aire 2 m,°C
0024035380,0068,2009-03-09T15:00:00.000,4.6,NEVADO DEL COCUY - AUT,BOYACÁ,GUICÁN,SOGAMOSO,6.509111111,-72.31416667,Temp Aire 2 m,°C
0026065501,0068,2016-08-22T14:10:00.000,28.2,JAMUNDI  - AUT,VALLE DEL CAUCA,JAMUNDÍ,CAUCA,3.215580556,-76.68021944,Temp Aire 2 m,°C
0044015070,0068,2016-02-12T01:00:00.000,21.4,EL PEPINO - AUT,PUTUMAYO,MOCOA,CAQUETÁ,1.082888889,-76.66711111,Temp Aire 2 m,°C
0021235030,0068,2013-06-11T21:00:00.000,27.3,UNIVERSIDAD DE CUNDINAMARCA - AUT,CUNDINAMARCA,GIRARDOT,ALTO MAGDALENA,4.305333333,-74.80811111,Temp Aire 2 m,°C
0026135501,0068,2018-07-30T17:55:00.000,23.07025,EL PILAMO  - AUT,RISARALDA,PEREIRA,CAUCA,4.868333333,-75.79333333,Temp Aire 2 m,°C
0023025501,0068,2017-10-15T00:50:00.000,17.96923,MANZANARES  - AUT,CALDAS,MANZANARES,MEDIO MAGDALENA,5.163913889,-75.11740833,Temp Aire 2 m,°C
0021045501,0068,2016-08-25T17:20:00.000,16.9,OPORAPA  - AUT,HUILA,OPORAPA,ALTO MAGDALENA,2.041941667,-76.01191667,Temp Aire 2 m,°C
0026145505,0068,2017-06-11T13:30:00.000,29.5642,LA FLORESTA  - AUT,CALDAS,BELALCAZAR,CAUCA,4.979219444,-75.83555556,Temp Aire 2 m,°C
